           BJD  Differential_Magnitude  Differential_Magnitude_Uncertainty  Accepted 
  2454869.00085                  0.02432                              0.00125          1  
  2454869.00171                  0.02316                              0.00126          1  
  2454869.00257                  0.02892                              0.00126          1  
  2454869.00343                  0.02030                              0.00124          1  
  2454869.00428                  0.02758                              0.00126          1  
  2454869.00515                  0.02360                              0.00128          1  
  2454869.00600                  0.01699                              0.00125          1  
  2454869.00691                  0.02608                              0.00127          1  
  2454869.00776                  0.02985                              0.00125          1  
  2454869.00864                  0.02406                              0.00127          1  
  2454869.00948                  0.02670                              0.00125          1  
  2454869.01033                  0.02379                              0.00127          1  
  2454869.01118                  0.02750                              0.00127          1  
  2454869.01203                  0.02790                              0.00127          1  
  2454869.01290                  0.02406                              0.00127          1  
  2454869.01376                  0.02232                              0.00127          1  
  2454869.01460                  0.02545                              0.00125          1  
  2454869.01545                  0.02344                              0.00127          1  
  2454869.01631                  0.02775                              0.00126          1  
  2454869.01714                  0.02396                              0.00125          1  
  2454869.01801                  0.02369                              0.00125          1  
  2454869.01886                  0.02391                              0.00126          1  
  2454869.01972                  0.02912                              0.00125          1  
  2454869.02056                  0.02562                              0.00127          1  
  2454869.02141                  0.02588                              0.00125          1  
  2454869.02229                  0.02231                              0.00125          1  
  2454869.02313                  0.02406                              0.00124          1  
  2454869.02399                  0.02584                              0.00125          1  
  2454869.02486                  0.02632                              0.00125          1  
  2454869.02572                  0.02695                              0.00125          1  
  2454869.02657                  0.02386                              0.00124          1  
  2454869.02742                  0.02560                              0.00126          1  
  2454869.02841                  0.02335                              0.00122          1  
  2454869.02928                  0.02502                              0.00125          1  
  2454869.03011                  0.03025                              0.00126          1  
  2454869.03098                  0.02809                              0.00125          1  
  2454869.03183                  0.02695                              0.00123          1  
  2454869.03268                  0.02775                              0.00124          1  
  2454869.03355                  0.02309                              0.00123          1  
  2454869.03440                  0.02296                              0.00126          1  
  2454869.03526                  0.02584                              0.00126          1  
  2454869.03611                  0.02381                              0.00125          1  
  2454869.03697                  0.02579                              0.00129          1  
  2454869.03781                  0.02592                              0.00123          1  
  2454869.03867                  0.02289                              0.00126          1  
  2454869.03952                  0.02837                              0.00125          1  
  2454869.04038                  0.02828                              0.00126          1  
  2454869.04124                  0.02363                              0.00125          1  
  2454869.04208                  0.02711                              0.00127          1  
  2454869.04295                  0.02457                              0.00125          1  
  2454869.04379                  0.02549                              0.00124          1  
  2454869.04464                  0.02039                              0.00125          1  
  2454869.04551                  0.02264                              0.00126          1  
  2454869.04634                  0.02580                              0.00125          1  
  2454869.04721                  0.02212                              0.00123          1  
  2454869.04807                  0.01956                              0.00124          1  
  2454869.04892                  0.01861                              0.00122          1  
  2454869.04986                  0.02364                              0.00123          1  
  2454869.05072                  0.02038                              0.00124          1  
  2454869.05156                  0.02677                              0.00125          1  
  2454869.05239                  0.01991                              0.00123          1  
  2454869.05327                  0.02125                              0.00125          1  
  2454869.05412                  0.02091                              0.00127          1  
  2454869.05498                  0.02011                              0.00129          1  
  2454869.05582                  0.01992                              0.00129          1  
  2454869.05669                  0.01909                              0.00130          1  
  2454869.05752                  0.02240                              0.00131          1  
  2454869.05838                  0.02204                              0.00128          1  
  2454869.05925                  0.02000                              0.00131          1  
  2454869.06010                  0.01972                              0.00132          1  
  2454869.06095                  0.01960                              0.00135          1  
